OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2025.12.26 01:09:06,1381439207,XAUUSD,sell,0.06,4 523.31,4 515.90,4 507.31,2025.12.26 01:21:52,4 515.67,-0.42,0,45.84,Inv_ATRtrail_pen,2025-12-26 01:09:06,2025-12-26 01:21:52,45.84,ATR-Trailing STRAT,12.766666666666667,45.84,10045.84,-0.0
2025.12.29 00:28:12,1383660283,XAUUSD,buy,0.13,4 483.78,4 478.16,4 493.12,2025.12.29 00:30:14,4 477.08,-0.92,0,-87.1,Inv_ATRtrail_pen,2025-12-29 00:28:12,2025-12-29 00:30:14,-87.1,ATR-Trailing STRAT,2.033333333333333,-41.25999999999999,9958.74,-0.8710000000000038
2025.12.29 00:28:12,1383660317,XAUUSD,buy,0.05,4 483.88,4 465.77,4 503.09,2025.12.29 00:40:55,4 503.12,-0.36,0,96.2,Inv_Chandelier_p,2025-12-29 00:28:12,2025-12-29 00:40:55,96.2,Chandelier STRAT,12.716666666666667,54.94000000000001,10054.94,-0.0
2025.12.29 13:15:22,1384908225,XAUUSD,buy,0.09,4 455.44,4 454.89,4 466.85,2025.12.29 13:20:02,4 454.51,-0.64,0,-8.37,Inv_ATRtrail_pen,2025-12-29 13:15:22,2025-12-29 13:20:02,-8.37,ATR-Trailing STRAT,4.666666666666667,46.570000000000014,10046.57,-0.083700000000008
2025.12.29 13:57:25,1385017115,XAUUSD,sell,0.07,4 416.23,4 416.36,4 402.00,2025.12.29 14:03:24,4 401.92,-0.5,0,100.17,Inv_ATRtrail_pen,2025-12-29 13:57:25,2025-12-29 14:03:24,100.17,ATR-Trailing STRAT,5.983333333333333,146.74,10146.74,-0.0
2025.12.31 14:00:10,1389017443,XAUUSD,sell,0.13,4 348.52,4 355.02,4 340.54,2025.12.31 14:02:04,4 340.52,-0.92,0,104.0,Inv_Chandelier_p,2025-12-31 14:00:10,2025-12-31 14:02:04,104.0,Chandelier STRAT,1.9,250.74,10250.74,-0.0
2026.01.05 08:45:22,1392950496,XAUUSD,sell,0.21,4 431.72,4 428.11,4 426.74,2026.01.05 09:03:25,4 428.13,-1.48,0,75.39,Inv_Chandelier_p,2026-01-05 08:45:22,2026-01-05 09:03:25,75.39,Chandelier STRAT,18.05,326.13,10326.13,-0.0
2026.01.06 10:09:28,1395236532,XAUUSD,sell,0.18,4 449.55,4 454.57,4 444.01,2026.01.06 10:36:51,4 454.72,-1.26,0,-93.06,Inv_Chandelier_p,2026-01-06 10:09:28,2026-01-06 10:36:51,-93.06,Chandelier STRAT,27.383333333333333,233.07,10233.07,-0.930599999999995
2026.01.06 15:22:29,1395819040,XAUUSD,buy,0.1,4 476.14,4 466.73,4 485.97,2026.01.06 15:34:27,4 466.76,-0.7,0,-93.8,Inv_Chandelier_p,2026-01-06 15:22:29,2026-01-06 15:34:27,-93.8,Chandelier STRAT,11.966666666666667,139.26999999999998,10139.27,-1.8685999999999876
2026.01.07 06:46:23,1396964633,XAUUSD,sell,0.13,4 443.42,4 450.79,4 435.57,2026.01.07 06:52:19,4 450.77,-0.92,0,-95.55,Inv_Chandelier_p,2026-01-07 06:46:23,2026-01-07 06:52:19,-95.55,Chandelier STRAT,5.933333333333334,43.719999999999985,10043.72,-2.8240999999999983
